cluster_id,n_samples,pca_components,n_populares,n_no_populares,accuracy,precision,recall,f1_score
0,4492,384,2338,2154,0.6006233303650935,0.6006661732050333,0.6941830624465355,0.6440476190476191
1,3203,384,1790,1413,0.6290977208866687,0.6268971332209107,0.8307262569832402,0.7145603075444498
2,2813,384,1272,1541,0.6150017774617845,0.6200762388818297,0.3836477987421384,0.4740165128703254
3,3734,384,1736,1998,0.6218532404927691,0.6259720062208398,0.4637096774193548,0.5327597617471873
4,1807,384,834,973,0.6690647482014388,0.6832298136645962,0.5275779376498801,0.5953991880920162
5,3493,384,1747,1746,0.612081305468079,0.6111111111111112,0.6170578133943904,0.6140700655084022
6,1945,384,890,1055,0.6370179948586119,0.6364985163204748,0.4820224719101124,0.5485933503836317
7,1942,384,940,1002,0.6343975283213182,0.6378896882494005,0.5659574468085107,0.5997745208568207
8,3447,384,1713,1734,0.6263417464461851,0.6259632483698874,0.6164623467600701,0.6211764705882353
9,4812,384,2400,2412,0.6032834580216127,0.6064152579107065,0.5829166666666666,0.5944338219672828
