cluster_id,n_components,explained_variance_ratio,n_samples,original_features
0,20,0.36414143911782276,4492,384
0,50,0.5726817410054249,4492,384
0,100,0.7613553106507721,4492,384
0,200,0.9348367777786268,4492,384
0,384,1.0,4492,384
1,20,0.42452546954831893,3203,384
1,50,0.6259033675944664,3203,384
1,100,0.7901198888198453,3203,384
1,200,0.9412517844609742,3203,384
1,384,1.0000000000000002,3203,384
2,20,0.44440386662116105,2813,384
2,50,0.6510693057576635,2813,384
2,100,0.8188716027673273,2813,384
2,200,0.9541888382271428,2813,384
2,384,1.0,2813,384
3,20,0.4018351101341193,3734,384
3,50,0.6087488667440819,3734,384
3,100,0.7839271884035597,3734,384
3,200,0.9408876407800935,3734,384
3,384,0.9999999999999998,3734,384
4,20,0.43398162590853206,1807,384
4,50,0.6452196910155868,1807,384
4,100,0.8137906441009093,1807,384
4,200,0.9529437481888231,1807,384
4,384,1.0,1807,384
5,20,0.37631274197218956,3493,384
5,50,0.580863928441509,3493,384
5,100,0.7696942622984414,3493,384
5,200,0.9413939337486508,3493,384
5,384,1.0,3493,384
6,20,0.4415861143110028,1945,384
6,50,0.6389535442546058,1945,384
6,100,0.8102427620536233,1945,384
6,200,0.9517919720589834,1945,384
6,384,0.9999999999999999,1945,384
7,20,0.36066407311263604,1942,384
7,50,0.5733811104178761,1942,384
7,100,0.7690421300953479,1942,384
7,200,0.9427262743438184,1942,384
7,384,1.0,1942,384
8,20,0.38597099285992914,3447,384
8,50,0.5949936171655177,3447,384
8,100,0.7778938325455141,3447,384
8,200,0.9393681762596505,3447,384
8,384,1.0,3447,384
9,20,0.4298609257851131,4812,384
9,50,0.6313610638753461,4812,384
9,100,0.7958991084489336,4812,384
9,200,0.9444565575202557,4812,384
9,384,0.9999999999999999,4812,384
